-43599.910755,-13877.9364711,-16176.8771718,4371.10572146,-2618.90235223,1906.28214077,2372.85070304,-1979.45556116,-790.246895406,516.929262562
-55652.2567546,-21714.7325404,-29516.8939894,7198.47797614,-641.271801911,3055.1714799,2028.83553481,-3483.12547439,2394.39550497,1291.63952026
-41864.1889212,6691.66748016,55102.0325702,22617.506005,-7095.67715976,4640.38585537,8179.02354931,-6853.61132756,-1158.44939744,-2440.26819014
-42867.8754941,-21222.0058909,-28279.3608861,4906.03547227,-2091.14590444,2939.69005739,2324.02192754,-2803.9823163,2044.62696784,1098.94868719
-53999.7795626,-21898.9414639,-30471.5087844,5519.36971198,-1403.83220664,2975.1495475,2227.35877197,-3255.30785287,2115.28801245,1696.60635948
-36012.1997337,-5109.71323602,-6185.34168565,-3151.03445997,-9328.79565731,3393.94555131,-395.819447261,169.227588507,-1119.36159349,606.133113644
-50663.280975,-21392.6756444,-29634.5961992,5096.3784126,-1170.33794601,3053.1436958,2101.57061022,-3061.51414723,1849.89706057,1331.30428466
-49233.0461976,-21651.8171181,-29986.219045,4768.24854289,-1331.59659075,2996.2693224,1852.3527013,-3143.70444025,1864.88085408,1557.29912201
-70832.1206491,-21476.7840225,-25604.3320839,22899.4875368,6986.02987905,3651.61007359,568.444780096,-3089.74406252,5230.43023346,-2574.52692893
-53604.4105117,-21721.2114381,-29734.7772772,5500.75315824,-1343.60925097,3212.71660507,2365.83183594,-3148.56886899,2097.58831554,1447.29355377
-53964.5956346,-21574.0447682,-29667.94863,5406.74801014,-1460.45996035,3328.52380145,2469.6414586,-3269.81255527,2009.43718007,1367.2779955
-54474.6022877,-21314.1005077,-29148.6619897,5511.64619499,-1661.69905956,3276.39707985,2517.99069183,-3306.41249404,2109.06278159,1317.54704733
-50319.2324845,-19139.0591678,-26899.1874157,2243.63024004,-2850.90346443,2558.39716689,1251.34039838,-2748.28538456,1556.68020444,1552.48404542
-53627.7366815,-22210.358277,-30672.1327102,4649.47765181,-1211.03691628,3158.64834086,2255.96080341,-3411.07398298,1991.4725536,1391.03096178
-53828.5128318,-21935.889852,-29876.2551648,5371.45928894,-1539.1384439,2998.18545096,2298.31305556,-3481.07522672,2433.88653929,1631.28638169
-53901.503176,-21683.5681779,-29713.9399614,5061.29549731,-1493.40352224,3149.05143217,2267.96653753,-3628.31753713,2109.28807587,1512.95542314
-54323.486047,-21659.5528607,-29260.7481665,5124.96043637,-1303.21553656,3061.11202127,2293.42595494,-3496.34263561,2040.41211503,1498.82059344
-62647.4116526,-20588.633776,-24706.483294,12163.0206511,207.699729122,3687.71264151,2016.10231525,-3176.99707418,2325.3577423,-807.043585057
-53755.8866163,-21804.5199982,-29449.8148124,6160.72982722,-1125.87957859,3121.81027404,2149.16681419,-3195.0147533,2313.33189425,1222.51469943
-31573.9046432,19884.9422159,11703.2865383,-10742.3348303,-28028.3926506,8727.20615659,-1264.44979656,-5238.41296323,380.395217786,544.322571046
-52957.0450983,-22009.828033,-29827.927488,5723.65411455,-1348.7229629,2771.29772159,2199.90266762,-3341.68139898,2266.43707228,1385.43205158
-53702.4190209,-21070.3762891,-27411.3954835,6267.17957213,-1791.59442611,3121.75307635,2196.45997355,-3506.75966827,2328.8979813,1380.99291049
-52759.745351,-21379.1235815,-27815.7801508,6040.14891657,-1562.69048567,3013.61422939,2213.6035462,-3457.57525748,2302.98918672,1531.48248568
-53763.2088,-22018.586119,-30117.8227792,4712.29446078,-1714.93260806,2982.6880342,2274.44987512,-3233.29700847,1926.87285238,1428.68966798
-53841.2104924,-21093.2026311,-27715.7823522,6154.83932884,-1700.03900132,3570.0848332,2478.22078897,-3410.69285853,2140.81826811,1257.85059285
-53424.222035,-21656.159839,-29812.3971408,5642.09129242,-1605.64357566,3127.79868481,2183.88254151,-3236.06773042,2302.15472005,1545.62837516
-54102.3630922,-21897.29628,-31407.2870022,4412.5855969,-1435.78641421,3018.47869995,1817.19004962,-3130.56127758,2010.21914316,1689.48027469
-53891.3398738,-21840.6778503,-30692.2336782,4794.99288114,-1233.18341783,2754.03354099,2207.70747142,-3316.95782033,1993.98975756,1589.41898222
-53649.9527888,-22290.9766685,-30216.0840154,4715.80836176,-1256.76013213,3217.69299801,2216.70329312,-3316.30948973,2090.04182746,1493.7442188
-81646.4159201,-27224.3932148,-39927.139415,9083.19379311,117.201622886,3828.35171755,2794.30529238,-4296.21627808,3320.45362855,1740.41478336
-81646.4159201,-27224.3932148,-39927.139415,9083.19379311,117.201622886,3828.35171755,2794.30529238,-4296.21627808,3320.45362855,1740.41478336
-53786.2836471,-21650.6880752,-30139.9748143,4142.47882177,-1719.24056123,2868.19955942,2037.39629913,-3306.90131884,2216.60763208,1280.45389252
-54358.1526554,-21657.2386562,-29950.6787207,4307.67826573,-1773.85778236,3011.38314476,2058.53359689,-3409.26151382,2268.74966675,1495.94193559
-52208.6248566,-21338.9270268,-27780.0565451,5883.27996256,-1559.89775842,2849.67345894,2190.31812249,-3311.22208568,2277.88672461,1118.65536899
-46934.1752592,-21044.7081566,-26088.2245686,13563.2550708,2351.44816608,3468.32236334,1838.74079656,-2288.70713234,3051.62679265,-1273.44126188
-52851.3230804,-17527.779233,-18569.9225147,9065.38406583,-2402.62283,3889.89371908,3324.41703322,-3956.01187875,2018.94024433,1217.96418879
-53901.8883141,-21816.7754177,-30384.7815253,5452.26120395,-1551.50850679,2951.90632822,2179.75232007,-3341.65689669,2271.63293077,1292.19795893
