Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14,Component 15,Component 16,Component 17,Component 18,Component 19,Component 20,Component 21,Component 22,Component 23,Component 24,Component 25
-88590.81396792486,-53335.88256488229,63687.377499794195,7497.154090422297,2724.325534547619,2032.0174014791344,-1384.9430439794737,1368.962276059347,1208.6920036056933,5595.60328782324,4162.112235087637,3785.848348217722,-229.34700840054745,669.4968672713833,-2313.537715905593,-1274.8409213222474,-602.4985056784071,858.5478381956193,-1469.256946777341,-707.8525730678692,-24.84074010337818,2058.4125435808287,-668.9035691447748,-437.8771415558517,366.4970179331375
-116040.42914747704,-66970.5900023247,81396.26138916766,10635.481039428192,6189.329559462436,5022.748324684741,-1724.6150639587838,4060.2935675889985,2708.356242846914,4071.9991475090746,6050.439811138589,5899.992563517685,143.9533195829156,919.4568744151682,316.3600518222489,-2065.2571922855614,-2468.298673432238,2894.5345202497697,1477.543178468043,-2153.6927147938013,-348.6429250194393,6025.020010419192,-2604.2686638591704,2886.68273014056,-240.65206715116747
-100229.99570615328,-59564.05074647492,70322.28128586378,11687.546372640674,5238.0274717889915,4257.622072050814,-1698.732100395789,3085.792101110114,2127.839943145164,3068.411340193054,5262.822023650568,4246.201500598011,410.6486840187689,912.3739668038197,893.931958928643,-1356.950826104161,-758.5270948494855,1562.5015964823954,1606.2588184946594,-1487.0217141373778,-148.5755761394516,4375.639145687691,-1666.6620391625045,1810.9187601812732,-461.79875457801427
108964.51195065357,149293.58651035235,-225972.3299625894,-2161.0027285007873,-30829.613770273354,3036.1580655299267,13971.289174282527,-35694.94687123796,-17028.798290645784,-13177.482701693776,4088.390868912522,-28940.590281426288,-15124.312914058775,-4294.968831862777,-12753.933928865974,21763.1097427099,2799.2730635384773,-15356.78503305954,-18699.610798467074,-19571.32412273784,10219.93705610205,-26079.638722910666,26215.07642896346,-19698.545397979236,4959.543442022431
-98758.13585741198,-66738.0133846064,79281.26299989258,11211.68159322288,5858.530757140162,5175.414319998826,-2321.9358575061938,3849.4736002443497,1975.7271781364627,3250.0799581080064,5485.463408969807,4914.1027960182755,2.399407001409619,1180.6874347267185,998.2671342071733,-1042.2886924339075,868.2783858131814,1231.4662422962208,2808.0252215789237,-2051.407570112483,214.82539270858325,5360.636474277957,-1920.6643654572329,1303.1872586439488,65.06681853376291
-113000.40278962681,-66748.55598800385,80264.77619792605,10949.94253539696,5662.5867371164895,4798.479193783674,-1890.4820196622518,3734.1239048048037,2450.4472414027173,3454.279269408406,6109.9054912122665,5514.58656423602,68.48870593515426,951.1409834730714,480.8244317572829,-1920.0906698603965,-2032.0634664304546,2868.58110390636,2068.248692012266,-2536.1522993585936,20.57483261198915,5508.2282010229665,-2425.610137621746,2422.8844784952457,-603.608845939824
-71590.9430333121,-5799.581446333103,-921.455701438044,31682.96528515781,485.27984248313743,2663.5602159971118,2516.2012407629936,-8063.656464666612,-1923.8095411511217,-3093.717815891089,5118.593140922793,-4935.535106200361,-6405.481350394828,4206.771552894323,3571.802685545465,-3906.765502655205,-6671.857148658332,-4582.10081403324,1826.1772834448702,8.921995391377827,-7822.114587867063,-4514.806615858174,3984.972475358429,3689.0650895972167,-4900.206877807358
-106729.94940706983,-66216.25821337235,79580.21586220684,10467.101925453186,5982.041322583893,5103.640238544361,-1613.8096518256427,3276.1256997580967,2748.282994736105,3723.789670579812,5346.287496409446,5502.843618669765,-345.76403759056706,1718.5498418665438,891.6605675457229,-1532.4197789497236,-637.4920200986422,2077.7604755327384,2486.455785497414,-2475.5330482748514,-10.868391378258327,5984.904415533082,-2374.3310939914268,2073.719646419964,-339.40186591118504
-160520.3802415949,-75219.14534480702,95044.9591895596,9216.326088230162,6608.861072520966,5784.0823526102995,-2142.5205528136235,4691.770176563058,2491.2722398980377,4667.076197377435,8021.010385976141,8079.472747289744,229.61365437520155,894.5176737186881,-229.88999138777024,-5019.0478589148,-9602.209088261036,7853.834885013342,-2427.351432674931,-2343.868795820904,746.3858002014967,7921.489158054394,-5719.709111821579,5674.171127656219,-714.4649072288661
-133684.64290076695,-69471.21919104947,85331.19448014098,9938.364673764716,5694.755656813306,5393.108641269297,-1634.3810681548575,4139.521358087869,2611.30027119386,3941.819473329197,7215.922255113598,6323.261711352804,48.536419154312945,1127.2863151011036,278.7547784555017,-3328.969811494284,-4867.629386162415,4641.759514566737,312.62089028000713,-2446.2717796958395,-20.651534110457206,6551.146137310418,-3670.3542247697787,3748.813114320706,-465.26671437745154
-2515.8545135295335,66876.24259085252,-107867.86591284828,61062.327826840825,55485.338286035476,18015.169154366624,-21893.831563718613,-34105.32016598726,-13475.878562869262,-29875.462725936897,19991.0711820798,-22640.49659272247,-23707.464741432184,25271.987710277204,5802.742149577043,-13054.062752021751,-14432.795075661237,-20851.007266337056,7750.44494028184,9963.922298018046,-45337.24080003449,-23975.862146265743,33070.35142308724,23646.941845887486,7267.519075980501
-142806.8589294147,-71973.79815007465,89525.14067970957,9607.213407355699,6823.130820887457,5757.405197879873,-1299.6361703527082,4696.8659412795905,2676.62598230669,4334.93217307705,7677.827484284716,6849.461535323824,176.79656100210266,908.5323330386858,243.86737533623244,-3799.236690398714,-6794.62613749368,5731.72904608495,-948.3021717104026,-2474.6422015037215,595.1557670860941,7060.157557779467,-4529.811463567116,4589.590657806134,-684.7854910871154
-34469.14331515708,-51170.26072538426,50272.34273604862,-5615.409963310966,15464.476989745697,8199.66070351989,32787.758232526874,12072.24629005197,8021.1566356632375,-2156.1125644481253,1700.2825078702913,2538.919481997707,23124.051688874955,682.0280006155493,-7322.363869857786,130.64773951569833,-5235.986523963315,6586.788205166515,2146.390456411872,-4192.814585692585,3983.1136595888875,5079.353816751851,-23601.258198931984,-2214.7561109794237,18692.287581444943
-112406.6884720587,-66462.6704596251,79833.55648847528,10657.880146353516,5820.260914445741,5301.071954855928,-1900.3411574450247,3446.9027479603424,2152.0307317322536,3689.0426936801728,6177.190826772181,5961.974638225549,-83.0509156309285,1224.3073359782563,243.2965829829123,-1778.4368526567237,-2094.616738622196,2497.3036478845142,1827.2807369548063,-1987.3101608024872,-185.65939045194548,5609.532304046782,-2521.724740671429,2279.7125475572216,-432.17033502331134
-113847.26331711531,-66669.15519667411,80394.0828822626,10767.503852606664,5986.089871818249,5241.487069148007,-1974.8628783744284,3563.289200846459,2103.5242040924295,3745.825088955821,6300.980157144052,6072.887188885059,-74.47265111398329,1107.7767274604944,305.5542682707571,-1764.956233223349,-2343.0525458917728,2791.7244005469997,1689.3323207264186,-2167.25675237488,-127.12970023143228,5526.100655282846,-2666.27905137924,2484.6420679564903,-294.0523202377022
-102985.3657831404,-53465.122604213575,62198.81645201988,10867.759854899032,4449.288768837704,4069.2751182771417,-980.7913167779466,1976.8389467385457,1606.3184549389857,2630.9976853658713,4804.917541094248,3821.412311012261,-528.3248474436526,905.9908096871645,85.27442707621115,-1900.7569391432899,-2529.4347080086313,1379.2858775690315,1221.2099789321803,-2074.596236165461,-399.2224578451474,4351.799504164159,-1514.180748939322,1701.5582956095434,-678.9671762216641
-112602.67177609091,-66937.66847183889,80358.99972176156,10825.615836101091,6122.569125324766,5174.022381808357,-2339.478465723576,3696.823827446764,2492.474661614761,3479.5032656721287,6102.827714386859,5670.088584838414,100.76926366039953,1048.0616740150315,798.5441458514612,-2057.4229469678908,-1976.4670269061357,2483.3409769663012,1453.678983477678,-2408.318982806993,-360.38259986812625,5918.297024465112,-2428.8719514538484,2515.3105014502203,-191.44926082455817
-115439.74655780384,-67067.91191503352,80985.52803471705,10799.080524135294,5951.06288038756,5026.612139631448,-1949.9370606996915,3656.732065897698,2388.4721731763702,3657.438857213182,6218.909770306264,5647.34966456793,26.723942914421208,1012.3465212566496,248.90102506111964,-2116.3145933984483,-2023.7376764678313,2886.117023100312,1353.4664891074058,-2441.523128785662,-397.8658552761627,5760.787237466649,-2791.6788491178763,2690.953553886342,-449.33126417039307
-8511.054648698902,111644.07087587372,-17826.09253606333,-36930.67296029189,-8788.32999463545,-17377.41376248907,2388.2145915230053,-15389.28370009205,27776.994237343006,12093.078566654456,1174.4213551289697,-4909.284881278072,3702.390344305606,1509.1115613155607,-748.4552689914461,3818.0192925143865,-8558.005345757989,-2351.7218778870565,-8014.1376702529515,-665.270626033115,515.2565198085125,4407.677757723501,14144.944677721953,-1022.902898285061,-5895.762164494215
-108456.29242155288,-66121.70062972179,78712.95755843811,10671.629614937605,5842.0241615135155,5002.374123634662,-1781.164485988824,3812.3275656031515,2638.6023032367534,3318.9484015226744,6178.190783838588,5272.440676906522,-130.08534060114923,736.3430133823898,776.9302748142975,-1860.2963576532668,-1521.1934600598393,2100.931040935681,2119.570081009932,-2285.541624103004,-108.70058462734607,5674.136017780755,-2156.3095223503346,2311.4930605451154,-291.5492304358166
-112588.78618808712,-66358.58373243126,79570.20661767214,11438.817893967276,6613.665375382348,5172.009894380967,-2145.0992740841725,3638.4025621085834,2395.786543497159,3495.214169630794,5949.515599785128,5235.544917303298,-97.50503043114327,982.6202631304227,595.3682184683523,-2043.70723277361,-1955.4267131382815,2382.1657956189447,1689.588742981672,-2349.459478977403,-217.3128994690139,5386.568308684874,-2455.019504563482,2682.636347859194,-486.54192023460433
-113532.1109426128,-66705.05702426059,80222.12221554607,11045.389999674873,6508.600020092193,5247.83054788202,-2107.957459615514,3714.568175485549,2446.4890934274986,3656.6678260109384,6068.0604287153665,5402.153010109314,-93.29489180303673,940.1242440534903,557.3319761301008,-1967.7792308169608,-2025.6376728865355,2530.7523396080296,1623.8600207197258,-2382.3891997118503,-60.871756669289326,5580.078518312332,-2537.5045915500236,2400.3265184785982,-524.5990577333304
-123782.94736628626,-65071.42229931699,78075.17261088616,10251.833851717456,5343.723727397365,4659.314272971771,-917.3355127040018,3094.5104086577444,187.4870826876145,4707.6937733144405,5913.123891063592,4561.893098967704,226.0452005599781,-1618.2281429360753,1768.262626735465,-5870.539340997829,-5743.127054859779,5607.254626294788,-1731.3207511796468,-2363.3938978719875,1582.8162863037596,6197.1746633707635,-5129.251741503598,3396.5234699943762,753.4770981844252
-112304.61699958211,-66739.65154475848,79887.11103158438,11108.153929184236,5801.402819292368,4959.133028356917,-1862.0835434198684,3845.8373598617877,2230.0300020387967,3519.024198934452,5967.37888662282,5497.458078979868,100.67945158895186,1113.5766104870193,592.6874376976303,-1920.7101331086926,-1988.9207099000787,2297.4501954540783,1662.7577909597867,-2785.391521296333,-86.96107001279313,5313.3621983762505,-2344.9019998865247,2706.0857941029367,-464.22009860814995
