Component 1,Component 2,Component 3,Component 4,Component 5
-41179.19998791037,52041.230596695,7264.628678596217,2009.5905294521422,1050.6600153539264
-67008.92135120693,89296.79834533884,11266.67631481704,491.2636574739619,-2623.4144178941856
-66952.47108667283,89046.45849042494,11638.680202247695,1105.3960459654281,-2337.5401152123827
128571.0577119675,-219564.16939527495,-68340.28695766767,-32311.99191988323,5464.108753307693
-67683.59165073551,90286.42393125406,11607.853308799333,749.1412830928672,-2569.079519491663
-67247.3288485739,89599.52449534592,11524.164000375184,705.6943461351317,-2563.254450776669
4192.978038980708,-11215.445045704242,-23094.877137314306,-26472.042524043252,-13409.061227758486
-66769.88748771223,88831.96692995353,10962.18567766604,337.0742609780619,-2617.005830112988
-67778.34055144162,90473.35789068611,11615.539677247765,724.0937213183278,-2598.112072953036
-67292.75720935148,89576.28359656128,11778.162641002724,920.4662609951135,-2327.244310914162
64134.83801745985,-106994.17101626172,-50224.543373755856,-24687.0052602685,-80257.81331708633
-66758.69475411956,89359.49139361884,11510.733189857334,1375.0639376413983,-2656.688745296073
-38617.07283694806,31828.22909270717,5489.714080192526,22144.315380859865,4844.960116231988
-66352.74023569473,88377.12761733802,11051.630527152167,436.1706941620869,-2229.9431271857484
-67026.63698538329,89383.66465075358,11235.445844229585,379.08428720922933,-2734.475747047266
-48903.15273951339,61793.930621952415,6310.865268089778,-803.1559825752666,-2469.002889963115
-67191.7356996016,89637.50528311337,11686.502812770257,732.4695434717356,-2523.0061687848906
-66461.89735146186,88744.44317606391,11244.163868891434,339.8373497602535,-2707.699734158968
129939.08560283548,-22700.697600441268,19833.953730214987,5279.644446884358,4753.878929656848
-67489.30271068812,90107.08408409647,11337.553585498134,359.7697861212201,-2769.156503792611
-65942.23103797497,87856.15044989281,10408.324252101233,-606.710972222177,-3204.3279980312086
-66658.32038238161,88897.06573495973,10839.535055195756,-168.85462337153848,-3024.8695893202384
-55498.74240914421,68427.01460410719,7444.753669728311,1916.2699416312203,-1422.6831855735898
-67061.20696559286,89493.37373976684,11132.766214133682,162.17200499279696,-2857.3822956509925
38918.760858489964,-894.9000206907137,-51104.384392562526,-78841.30109608425,-40862.9655765707
-66733.1378374459,89082.52768295213,11926.464461875516,560.461326707536,-2467.5238564002116
-60141.827314067494,79418.80312012212,8166.523230162292,-2176.036525929298,-3591.0030307032425
-67195.210691077,89638.82815094001,11254.344337789722,357.33095030690436,-2761.2909192203115
-67236.79549168613,89571.6373483163,11613.693397017087,629.7522223818975,-2565.881577969557
-63658.61687175199,83901.53291509264,7401.084265142627,-4216.726218844564,-4993.018710378492
-67417.93443714568,89879.35730363225,11517.311028477872,689.9954159931874,-2617.5064477999636
-67507.04943236854,89979.2369292488,11589.382989520167,840.5852333309039,-2512.2932492656755
-66679.60627039608,88710.95562767844,11518.761919840172,974.6493459031701,-2373.126719915023
95613.6216921245,-137908.0288550226,-34834.03750440573,4198.646643443662,4245.298882661642
-54730.70456900798,71890.91893029984,8380.448967127304,1194.66668980758,430.4886872472523
-65693.93238684582,87395.95684277477,10800.508879969195,229.05692756078432,-2555.0934501472834
-67778.34055144162,90473.35789068611,11615.539677247765,724.0937213183278,-2598.112072953036
-67778.34055144162,90473.35789068611,11615.539677247765,724.0937213183278,-2598.112072953036
-65674.46559934609,87308.54042215672,10779.239322872496,83.97369839281882,-2769.334863951882
-66769.16081573354,88792.25129296503,11309.443978415558,754.7965031751878,-2373.140871959405
-67284.45334197461,89533.26848627918,11440.547093349705,819.8442837437109,-2484.2920482260674
-44014.10123396832,52115.863202868895,4418.199192231981,-31.90307523049091,625.9678747606926
-66155.59672004817,87916.17286244305,11118.175629725218,553.8192466865452,-2488.502622334244
-67710.37642804961,90342.01628358157,11560.211817708165,682.8258943146989,-2557.127046633692
-52362.104654403505,60426.79674385279,10905.694845711721,10068.442412129763,3516.6160557401636
-63244.311932007,83040.70146676441,12316.28674145972,511.887900483043,-1906.472186089524
-64968.74514319738,86013.43931476616,11181.614909083908,1144.4635944226022,-2286.6937226627424
-67285.43264005755,89746.65672494915,11545.779782834306,827.6359224541575,-2471.1920437435515
-65900.26751444505,87426.97680140704,11146.055846909258,803.3718139840033,-2472.94970456371
-67237.1692734985,89671.83604216838,11204.869330591291,281.7919361482114,-2794.4248085554837
-67778.34055144162,90473.35789068611,11615.539677247765,724.0937213183278,-2598.112072953036
10963.16594979224,-101886.79031012245,22086.627366338485,72104.72878132954,52041.63159015917
-67778.34055144162,90473.35789068611,11615.539677247765,724.0937213183278,-2598.112072953036
