Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14,Component 15,Component 16,Component 17,Component 18,Component 19,Component 20
-0.000846974969697983,0.00036466550762337066,0.00044734450414638763,-0.0004138628378908867,-0.0003921375209811429,-0.00046430808750914856,0.0006500634361478815,-0.000586309197379396,0.00036791684176071975,0.00048763948542551017,-0.0001610251012568942,8.076311909648415e-05,0.0017733079275361525,-0.0029295177833945354,-0.00025839506934506845,-0.0001907720861753669,-0.000258684190681946,0.0005212436963862413,0.0003198034168753393,0.00040245827895666193
-0.0008289942961371096,0.00036168400479480163,0.00043012151348546476,-0.00041072592851307385,-0.00038605486677863345,-0.0004523985949281544,0.000683199282930653,-0.0005786830658522452,0.0003575451430654288,0.0004951872170897039,-0.00015849199643680947,7.375984954606519e-05,0.0017269578583017815,-0.0029503736032614907,-0.0002583156208175033,-0.0001990182147036836,-0.00025089647051320085,0.0005040788915122271,0.0003215779021943722,0.0004055372730168097
0.0005003825445829606,-0.0017134167020209873,-0.0007585762187154646,0.0013215268383605443,5.438470387485911e-05,-0.0009738216502791159,-0.001495622198100461,-0.0011420615316023312,0.0016417886131906356,-0.005346254914816009,-0.0008212068959252169,0.00029557495972882793,-0.0023413742714389475,0.010092237140299514,0.0027581167661082837,0.0008634666074352786,0.0002268833999823057,-9.216473728232725e-05,-1.2363910518629015e-05,-0.002497774151718001
-0.0008414861418714137,0.0003685156511105046,0.00044622379453638215,-0.0004207187318319674,-0.00039177238943789196,-0.00046598040323817696,0.0006714294708358171,-0.000584761141063898,0.00036645160281925833,0.0004929529984565303,-0.00015755080347109018,8.110776660298574e-05,0.001777139386234399,-0.0029830037403140554,-0.00025829773630227495,-0.00020283011673560134,-0.00025625657683395284,0.0005204961427585486,0.00032344078459557604,0.0004172690981603294
-0.00016387213364383856,0.00018891174309949846,0.0005199147764219432,-0.00031321913057624003,-0.0002287499166401044,-0.0007851004395345721,-0.0013327737639951996,0.0001106354142144843,0.00034844789230790616,-0.0002920383493299186,-0.00023309959424344467,-3.8407304772485176e-05,0.0017334262924973162,0.0022924140639826104,0.00016878058885428743,0.00015750242744699637,-0.000361127156601672,0.0003716358833453511,0.00012187360966363521,0.00028678152675004094
-0.0008215667483679993,0.0003726380543526132,0.000450744043801355,-0.0004294024748302309,-0.00039498725771247426,-0.0004745011548441542,0.0006366987951976818,-0.0005739334590016934,0.00037225603027738456,0.0004440373052591152,-0.00015797948429117857,8.309432398846346e-05,0.0017984465405413007,-0.0029035289965118056,-0.0002641884025268454,-0.00020738349780381618,-0.00023336199176677416,0.0005335492136520752,0.0003185419502012837,0.00042812422361532645
-0.0008324479607704462,0.0003688339695832733,0.00045721901843079864,-0.0004195818868839385,-0.00033268381890402024,-0.00048650591219557264,0.0006502009791192631,-0.0005698752315132168,0.0003741759671836924,0.00044750610760263754,-0.000164137304536407,8.953171968873411e-05,0.0017650461220041459,-0.0029087704745128476,-0.0002713601584848625,-0.00016938348116255427,-0.00026661212931644595,0.000530100929350823,0.00031581683334100765,0.00042046784211856563
-0.0008430070311325747,0.00036888473301024494,0.00044648851414975314,-0.0004200748546881841,-0.0003932756789513401,-0.00046736045179043595,0.0006733252081796838,-0.0005856378624939467,0.0003668373724344432,0.000491595584094911,-0.00015806951777143938,8.112373451923424e-05,0.00179421443134462,-0.002985518704750195,-0.00025875557781594304,-0.00020949308455479583,-0.00025597499510171686,0.0005202365202082979,0.00032510528352277954,0.0004180097183488925
-0.0008384775228648873,0.00035999937281040137,0.0004201935555059454,-0.00042338115468450773,-0.00039093023139635656,-0.0004402218522152499,0.0006726432157327224,-0.0005820418023158506,0.0003540057036983388,0.0005045259155516691,-0.00014681817290631394,8.077161050945426e-05,0.0017346932028251734,-0.002976459904672396,-0.00025632687279438746,-0.0001930684761237023,-0.0002561943440135059,0.0005198616207737341,0.0003201992127431593,0.00040935454180929297
0.000534813378167411,0.0009598175883243085,0.0013395821743287612,-0.0012491896714072349,-0.0003480267234634142,-0.0004853615126471836,-0.004396441886345978,-0.00022385507820119808,0.00045630786375980975,-0.0010994159437152495,-0.0002578389657948191,0.001182210973701589,0.003698947163884749,0.007437009534395022,0.0005467578575785429,0.0009016874904976285,0.0047145235931886674,0.001533663378481667,-5.499284441026169e-05,0.0015779615082390538
