Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14,Component 15,Component 16,Component 17,Component 18,Component 19,Component 20,Component 21,Component 22,Component 23,Component 24,Component 25
-102684.4586921358,85660.8700720813,4791.429892994664,5656.37853018962,2216.2530296431396,-599.9375567202273,5184.785109394689,3355.5662417264393,6137.808625160598,32.60994618950518,5483.324991496358,1066.1282055181512,1174.8450780164162,-844.2309829082154,-984.2288499579191,-275.2633036534059,1969.8778005907486,-1632.1874344488722,-1867.978324659706,1583.0783159008452,3900.8256902018616,-1318.1077576370296,590.2131187214844,1751.648915014272,-67.87605555512121
-88289.57921674145,71433.09311996846,5134.347425150944,4265.116608787088,424.68928173195786,-605.5140168897282,5061.010181040245,2025.373085000454,2921.3331227621575,-988.0150850712685,3497.618507509517,3653.3569680104492,991.3467354712424,102.53136849371991,287.99113342884215,-964.9623902797723,1166.8020287675001,-1514.0289906276746,-1376.0940424216,1093.2378072623671,2804.929809705489,-734.1778892055371,172.44945972932615,941.5330916712741,87.79955705673342
213706.9437802021,-212166.5299800356,35067.50796845096,-23637.1214009208,31738.071575292255,4742.955159444485,-44546.25173823359,-15423.42529130063,5934.805297713172,20498.914721851568,-28062.62334295286,-12003.539408368228,-16070.444056761657,9446.927473498265,-2909.7906428704846,20660.495869676426,-12806.636678272213,20902.193788301567,-14273.737459081965,-25245.22256091748,-14741.087132172444,19600.908178915866,-6278.543654675252,-14672.567977525465,-2650.510658683328
-94777.74292470702,76201.72545997995,1246.771037332292,4209.126174603721,-1320.4153766545755,-669.7515760314083,7722.622773331527,1001.4181379596538,84.86648262086759,-3071.75944604078,3648.2577101069955,7785.245892975955,378.2440744977007,1722.3290038551686,1033.9332527022384,-1904.9896916632013,1276.0835460592991,-2521.158928147956,-2067.576066555848,998.5309775932859,3755.1098448806424,-803.1262319654357,-875.2531328935704,1786.7378497782852,428.0600866152231
-22355.92039971531,15655.14610173855,40560.749007719554,1986.6434949644258,9196.190119341325,275.4934973385823,-10856.372146053309,-326.19208563086437,8061.275813094685,9895.469259755713,-3820.3736379008324,-12101.4124186144,-1095.6400632983555,2006.906166743401,963.354340454649,-1417.2714843661468,-6375.172779075392,-1885.4632363083203,-472.5803771956071,2417.7612732892217,-9224.67977391685,3600.3557175816172,4557.167968152366,-4484.953104863721,951.1289610214437
-98241.17721894292,80453.77146353343,3731.5289685707303,5477.608292513528,1327.0665319644093,-618.4953280216553,5490.152206517852,2550.3394769726647,4187.431360174439,-823.0230006222339,4746.2858200911905,3564.9835732526935,852.4998858721553,213.28223627872347,-127.14841033413856,-1133.5898868227687,2064.194215604937,-2155.9925594570554,-2355.662453021146,1252.6494958008393,3812.6926111311795,-927.4421543556329,126.46696375997085,1446.9574959706417,400.7642405366529
-97808.12577427167,80174.27045348752,2736.613462519905,4972.17067050057,784.0791822349522,-382.3305813809973,5669.008198277193,2524.755629090286,2938.7809118475134,-1727.0693340806245,4738.648258095455,3821.2799288593624,862.4696902611715,1079.6362768767824,289.14937828186754,-1196.6345757473462,1675.120820726005,-2386.3663999609403,-2449.9803798888543,1369.6983172832915,4064.0648187678016,-1120.041610068493,-115.9105281857605,1491.7647523218861,125.96496329562976
-130543.88500150542,114706.46852602529,11061.539290276956,8417.010194372775,10344.82540409313,-1933.8014004229296,922.8079628984633,6545.493275239712,18744.07682398537,7881.151110161554,9427.708785372439,-12985.97055703288,3077.0018334747333,-6029.751880901595,-4691.602259488148,2281.4501814854825,4726.964579436794,1134.5595476895262,-637.0544059621867,1350.7486727827434,6169.463962836242,-4083.064481241918,2924.4856574021082,1766.9079761927508,-1087.3450114030038
-112922.03649550516,96140.59930861692,7587.6787529899575,6201.258166430356,5913.8677637709925,-950.8938388348269,3099.9116340640476,4707.612144600491,11394.209276789405,3785.3370650929905,6609.204264193057,-4589.469033754458,1941.310670824593,-2630.110403208022,-2247.077106533899,432.53849797394383,2980.936824979435,-836.2357017186162,-1751.0429940938448,1521.8138732637683,4568.550859540293,-2321.933014982035,1423.5696352163313,1570.7790729321869,-301.68440536860237
80537.86597883208,-81237.3509446592,87982.04107919929,60472.123554088525,28905.503183505843,-27745.621434462875,-25064.039859219894,-13370.576265387726,1654.9093470188332,39388.49415885253,-21055.292307208278,-19214.134463211187,-1858.15022842014,24495.619174275336,896.2940739267235,-10580.994353562759,-24559.23676783842,-7065.454417038056,6298.018969085748,17303.304503334974,-49925.974397790524,30834.72262770205,20414.92023764557,14921.737317643605,-21327.77236059892
