Minimum,Maximum,Mean,Std,IQR,Skew,Kurtosis,Q1,Q2,Slope,Amplitude,MAD,Residual Bright Faint Ratio,Median,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number,Time err1,Time err2,Period err1,Period err2,Depth err1,Depth err2,Duration err1,Duration err2,Impact Parameter err1,Impact Parameter err2,r/R err1,r/R err2,a/R err1,a/R err2,Planet Radius err1,Planet Radius err2,Teff err1,Teff err2,log(g) err1,log(g) err2,Metallicity err1,Metallicity err2,Stellar Radius err1,Stellar Radius err2,Stellar Mass err2,Stellar Mass err1,Insolation Flux err1,Insolation Flux err2,Fitted Stellar Density err1,Fitted Stellar Density err2,KOI Name
-97.62345123291016,61.54471969604492,-0.5982663035392761,9.391440391540527,1.6087850332260132,-5.3905181884765625,40.88179563641678,-1.0412750244140625,-0.06537999957799911,2.4842786623497327e-06,79.5840835571289,0.8209600448608398,7.964958667755127,-0.06537999957799911,14.022451457,177.5952096,2455010.595,0.189,8.08619,20082.9,0.13,0.31052,14.93,0.114,89.27,810.0,101.92,14.778,0.35100000000000003,0.289,0.0,0.0,6061.0,4.401,-0.14,1.05,1.012,344.358,2487.494,2707.7,1,100,6.65e-05,-6.65e-05,1.166e-06,-1.166e-06,9.0,-9.0,0.006,-0.006,0.013,-0.017,5.9e-05,-0.000109,0.128,-0.128,4.59,-1.98,162.0,-180.0,0.09,-0.195,0.3,-0.3,0.32299999999999995,-0.139,-0.117,0.14300000000000002,91.75,-33.91,0.00269,-0.00269,
-3.7901499271392822,10.077580451965332,0.006053070072084665,0.3597868084907532,0.0,1.3417549133300781,39.67682148210539,0.0,0.0,3.6059575512521454e-07,6.933865070343018,0.0,0.05200168490409851,0.0,3.0031801,132.1161,2454965.116,0.98,2.814,374.7,0.024,0.03844,4.7,0.045,68.19,1827.0,2630.88,2.64,0.293,0.31,0.0,0.0,6606.0,4.0710000000000015,-0.16,1.768,1.349,4.5360000000000005,12.362,13.9,1,58,0.073,-0.073,0.000177,-0.000177,27.7,-27.7,0.136,-0.136,0.035,-0.764,0.002,-0.008,1.3,-1.3,1.41,-1.55,181.0,-250.0,0.258,-0.172,0.25,-0.3,0.53,-0.583,-0.29600000000000004,0.182,2321.28,-1618.01,2.5545400000000003,-0.07827,
-54.21464157104492,34.107688903808594,-0.3041858375072479,4.5965657234191895,1.17815500497818,-5.102423191070557,33.2066618268488,-0.25547000765800476,0.0,-5.89026828559025e-06,44.161163330078125,0.5983999967575073,21.70124626159668,0.0,2.252417903,132.436339,2454965.436,1.198,1.9767,32296.0,0.456,1.46,27.09,0.027000000000000003,80.57,782.0,88.43000000000002,7.32,0.424,0.289,0.0,0.0,3979.0,4.699,-0.26,0.544,0.539,68.88,898.2410000000001,129.5,1,1007,0.0005099999999999999,-0.0005099999999999999,1.261e-06,-1.261e-06,306.0,-306.0,0.022,-0.022,24.64,-0.027000000000000003,24.573,-0.025,3.7,-3.7,1.3,-1.94,71.0,-79.0,0.042,-0.018000000000000002,0.15,-0.15,0.026,-0.039,-0.029,0.036000000000000004,15.77,-18.1,200.60458,-0.06139,K00982.01
-4.65772008895874,10.09434986114502,0.01026067603379488,0.9779437780380249,1.1746250092983246,0.2818200886249542,1.6215914378411664,-0.5913049876689911,0.0,-9.765232598198048e-08,7.376034736633301,0.5874900221824646,0.726219892501831,0.0,21.85362905,144.32031,2454977.32,0.6759999999999999,3.439,355.6,0.018000000000000002,2.00195,1.75,0.151,88.95,618.0,34.57,37.0,0.393,0.268,0.0,0.0,5830.0,4.54,-0.14,0.8759999999999999,0.97,4.464,19.609,23.0,3,60,0.004,-0.004,9.226e-05,-9.226e-05,16.7,-16.7,0.108,-0.108,0.035,-0.511,0.004,-0.001,13.9,-13.9,0.47,-0.16,146.0,-161.0,0.044,-0.187,0.3,-0.3,0.234,-0.078,-0.122,0.099,26.7,-8.92,3.01982,-0.14022,K03924.01
-4.694890022277832,6.943379878997803,0.013742940500378609,0.9449781179428101,1.069174975156784,0.2888621687889099,1.6335138974118504,-0.5353399813175201,0.0,-8.495356684586225e-08,5.819134712219238,0.534529983997345,0.639526903629303,0.0,86.723653,195.3511,2455028.351,0.662,4.852,241.0,0.015,2.92038,1.43,0.38,89.64,391.0,5.5,105.1,0.393,0.268,0.0,0.0,5830.0,4.54,-0.14,0.8759999999999999,0.97,3.949,7.676,9.4,3,16,0.017,-0.017,0.002,-0.002,28.0,-28.0,0.506,-0.506,0.31,-0.466,0.004,-0.001,52.5,-52.5,0.39,-0.12,146.0,-161.0,0.044,-0.187,0.3,-0.3,0.234,-0.078,-0.122,0.099,4.24,-1.42,4.3729,-0.41183,K07623.01
-76.16676330566406,12.286040306091309,0.0011630080407485366,1.208840250968933,1.16873499751091,-15.298375129699707,809.7479492400623,-0.5989499986171722,0.0,2.3114186237468192e-07,44.226402282714844,0.5847200155258179,1.3798178434371948,0.0,569.934135,248.94045,2455081.94,0.919,4.1904,18904.0,0.174,25.41419,38.98,1.317,89.93,296.0,1.81,759.0,0.453,0.233,0.0,0.0,5367.0,3.783,-0.46,2.057,0.935,154.567,164.416,66.7,1,3,0.002,-0.002,0.002,-0.002,296.0,-296.0,0.062,-0.062,12.44,-0.076,12.35,-0.03,378.0,-378.0,11.11,-4.76,75.0,-86.0,0.084,-0.14400000000000002,0.15,-0.15,0.586,-0.251,-0.078,0.195,1.35,-0.5,481.51691,-6.54166,K00362.01
-6.018330097198486,18.462799072265625,0.011946113780140877,0.9735195636749268,1.1575649976730347,0.3923780918121338,3.760991037533225,-0.5782999992370605,0.0,1.592166362358366e-07,12.240564346313477,0.5788900256156921,0.7174642086029053,0.0,1.975208831,131.63127,2454964.631,0.5589999999999999,1.513,76.3,0.008,2.87132,1.59,0.033,86.18,2064.0,4299.89,8.4,0.293,0.31,0.0,0.0,6401.0,4.029,-0.2,1.744,1.185,3.07,13.105,15.1,1,676,0.004,-0.004,8.234e-06,-8.234e-06,6.5,-6.5,0.121,-0.121,0.387,-0.337,0.000308,-0.000528,3.7,-3.7,0.24,-0.35,77.0,-77.0,0.196,-0.098,0.15,-0.1,0.273,-0.376,-0.098,0.135,1733.32,-1779.24,3.77928,-0.24005,K04924.01
-4.848730087280273,50.172340393066406,0.0134500777348876,0.9169356822967529,0.879240021109581,2.5702152252197266,127.39021888759311,-0.4399000108242035,0.0,2.408508450914451e-07,27.510536193847656,0.43966999650001526,0.5055108666419983,0.0,7.40742502,355.4965200000001,2455188.497,0.03,3.675,442.0,0.019,1.33381,2.01,0.07400000000000001,89.89,938.0,183.15,15.698,0.35100000000000003,0.289,0.0,0.0,5922.0,4.474,-0.08,0.961,1.002,3.987,19.42,23.1,1,151,0.003,-0.003,3.66e-05,-3.66e-05,21.0,-21.0,0.101,-0.101,0.401,-0.03,0.000799,-0.000495,0.912,-0.912,0.62,-0.21,184.0,-205.0,0.054000000000000006,-0.21600000000000005,0.25,-0.3,0.297,-0.099,-0.127,0.14,171.57,-55.16,0.07746,-0.4823,K03658.01
-95.90216827392578,38.924888610839844,-0.18078522384166718,8.620306968688965,0.0,-5.010718822479248,38.17718183757075,0.0,0.0,-1.8462306101842065e-06,67.41352844238281,0.0,14.598053932189941,0.0,2.96384168,134.119473,2454967.119,1.0590000000000002,5.4768,35652.8,0.34600000000000003,0.10239,43.7,0.042,73.0,1406.0,925.63,3.62,0.366,0.284,0.0,0.0,6095.0,4.371,0.14,1.158,1.154,229.504,2278.632,607.5,1,241,0.00022200000000000006,-0.00022200000000000006,8.19e-07,-8.19e-07,71.4,-71.4,0.015,-0.015,0.472,-0.087,0.422,-0.066,1.3,-1.3,13.97,-6.0,169.0,-232.0,0.087,-0.203,0.2,-0.3,0.37,-0.159,-0.166,0.151,872.33,-335.79,0.03589,-0.00293,
-3.772969961166382,102.13329315185547,0.012545689940452576,1.0524452924728394,1.1731249690055847,13.150778770446777,1243.5962324171865,-0.593209981918335,0.0,-4.3646891046965696e-08,52.95313262939453,0.5864099860191345,0.5474165678024292,0.0,43.142257,132.3007,2454965.301,1.179,61.73,283.2,0.196,4e-05,37.88,0.265,41.66,706.0,58.68,1.579,0.324,0.305,0.0,0.0,6198.0,4.069,0.14,1.769,1.338,3.835,8.607999999999999,30.5,1,34,0.061,-0.061,0.003,-0.003,11.4,-11.4,3.0,-3.0,4.75,-0.045,4.743,-0.044,0.7859999999999999,-0.7859999999999999,6.94,-8.46,74.0,-80.0,0.174,-0.116,0.15,-0.15,0.324,-0.395,-0.159,0.119,27.45,-25.07,0.00239,0.0,
