Minimum,Maximum,Mean,Std,IQR,Skew,Kurtosis,Q1,Q2,Slope,Amplitude,MAD,Residual Bright Faint Ratio,Median,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number,Time err1,Time err2,Period err1,Period err2,Depth err1,Depth err2,Duration err1,Duration err2,Impact Parameter err1,Impact Parameter err2,r/R err1,r/R err2,a/R err1,a/R err2,Planet Radius err1,Planet Radius err2,Teff err1,Teff err2,log(g) err1,log(g) err2,Metallicity err1,Metallicity err2,Stellar Radius err1,Stellar Radius err2,Stellar Mass err2,Stellar Mass err1,Insolation Flux err1,Insolation Flux err2,Fitted Stellar Density err1,Fitted Stellar Density err2,KOI Name
-1.5301200151443481,0.8555600047111511,-0.009909386746585369,0.131988987326622,0.010089999996125698,-5.610238552093506,53.835327580474456,-0.010089999996125698,-0.002360000042244792,2.1409481944913273e-08,1.1928399801254272,0.0032900001388043165,10.80899715423584,-0.002360000042244792,40.8065333,155.71586000000005,2454988.716,0.016,13.135,313.9,0.016,0.15947,3.71,0.264,89.96,772.0,83.75,24.123,0.328,0.306,0.0,0.0,6207.0,3.963,0.24,2.097,1.472,8.064,31.338,54.8,2,34,0.004,-0.004,0.0002083,-0.0002083,6.2,-6.2,0.125,-0.125,0.401,-0.016,0.000417,-0.000188,0.101,-0.101,0.62,-1.0,112.0,-125.0,0.195,-0.105,0.15,-0.15,0.35,-0.569,-0.198,0.126,38.75,-42.76,0.00067,-0.06223,
-1.1015499830245972,0.8438500165939331,-0.002552650636062026,0.07160448282957077,7.999999797903001e-05,-8.46168041229248,152.00275756514466,-5.999999848427251e-05,0.0,4.1030261066569396e-08,0.9726999998092651,2.9999999242136255e-05,26.919984817504883,0.0,140.10765,216.21749,2455049.217,0.019,18.503,266.8,0.015,0.19495,3.42,0.601,89.98,511.0,16.17,58.7,0.328,0.306,0.0,0.0,6207.0,3.963,0.24,2.097,1.472,6.421,14.671,29.0,2,9,0.01,-0.01,0.002,-0.002,9.6,-9.6,0.333,-0.333,0.3670000000000001,-0.019,0.0005059999999999999,-0.000244,5.4,-5.4,0.57,-0.93,112.0,-125.0,0.195,-0.105,0.15,-0.15,0.35,-0.569,-0.198,0.126,7.48,-8.25,0.01805,-0.04662,K00993.01
-28.043319702148438,5.082359790802002,-0.036369409412145615,0.9661633968353271,0.0,-16.286823272705078,292.4199049721062,0.0,0.0,-2.6385717313444693e-06,16.56283950805664,0.0,502.064208984375,0.0,3.290304098,131.90944,2454964.909,0.09,1.7215,13552.6,0.105,7.28769,4.91,0.033,89.68,540.0,20.06,16.097,0.456,0.282,0.0,0.0,3386.0,4.81,0.48,0.4270000000000001,0.43,40.06,234.088,220.5,1,85,0.002,-0.002,4.432e-06,-4.432e-06,64.8,-64.8,0.013,-0.013,0.183,-0.09,0.0005269999999999999,-0.000922,0.114,-0.114,0.41,-0.11,103.0,-33.0,0.01,-0.02,0.05,-0.15,0.036000000000000004,-0.009000000000000001,-0.009000000000000001,0.046,6.53,-1.58,0.05143,-0.96909,
-1.339210033416748,0.2261199951171875,-0.0008166151237674057,0.03033745102584362,0.0,-35.25185775756836,1364.5854256911637,0.0,0.0,1.1070484532371027e-08,0.7826650142669678,0.0,279.0472717285156,0.0,462.12069,307.6255,2455140.626,0.002,10.42,633.7,0.023,3.69085,2.46,1.127,90.0,249.0,0.91,346.7,0.324,0.298,0.0,0.0,6079.0,4.4110000000000005,-0.5,0.974,0.892,5.917999999999998,7.762,9.9,1,3,0.026,-0.026,0.02,-0.02,81.2,-81.2,1.5,-1.5,0.462,-0.002,0.002,-0.002,84.0,-84.0,0.68,-0.37,163.0,-200.0,0.12,-0.18,0.3,-0.3,0.271,-0.146,-0.08900000000000001,0.109,0.75,-0.33,0.8938200000000001,-3.59873,K00993.03
-134.3797607421875,28.19849967956543,-0.245511993765831,5.63733434677124,0.11624000128358603,-15.634333610534668,279.1015040678226,-0.09588500112295151,0.0,6.232829715965079e-07,81.28913116455078,0.047970000654459,63.39293670654297,0.0,77.36241475999998,139.095626,2454972.096,0.995,12.1317,96585.8,0.483,0.4868,41.66,0.336,88.94,362.0,4.08,53.602,0.4970000000000001,0.204,0.0,0.0,5359.0,4.57,-0.12,0.79,0.848,423.947,1495.851,1246.3,1,18,0.000241,-0.000241,2.216e-05,-2.216e-05,90.7,-90.7,0.012,-0.012,0.03,-0.035,0.021,-0.03,0.596,-0.596,7.54,-3.48,159.0,-159.0,0.037000000000000005,-0.112,0.3,-0.3,0.14300000000000002,-0.066,-0.087,0.087,2.31,-1.05,0.00541,-0.00633,
-0.6493600010871887,0.17315000295639038,-0.009239183738827705,0.085609070956707,0.02253499999642372,-4.561054706573486,21.53126021079394,-0.008179999887943268,-0.0017600000137463212,-1.3912010243874967e-08,0.41125500202178955,0.008339999243617058,35.39413070678711,-0.0017600000137463212,3.02558494,134.36744,2454967.367,0.8390000000000001,3.0008,128.3,0.012,0.18203,1.62,0.042,79.13,1484.0,1148.47,4.45,0.35100000000000003,0.289,0.0,0.0,6123.0,4.263,-0.06,1.263,1.0659999999999998,3.977,20.524,23.8,2,440,0.003,-0.003,1.202e-05,-1.202e-05,5.9,-5.9,0.091,-0.091,0.035,-0.573,0.001,-0.001,2.1,-2.1,0.29,-0.25,122.0,-134.0,0.13699999999999998,-0.112,0.15,-0.15,0.232,-0.19,-0.073,0.109,592.8099999999997,-389.77,0.77489,-0.1354,
-13.002440452575684,1.8067500591278076,-0.006618571002036333,0.29186293482780457,0.0002899999963119626,-32.67717742919922,1162.7005215826591,-0.0002899999963119626,0.0,3.234881943799048e-08,7.404595375061035,7.999999797903001e-05,238.30824279785156,0.0,145.56249259999996,146.0588,2454979.059,1.274,5.4126,2931.6,0.336,0.49639,40.15,0.536,89.11,387.0,5.33,82.2,0.307,0.306,0.0,0.0,6148.0,4.346,-0.3,1.095,0.969,31.368,49.257,58.1,1,9,0.002,-0.002,0.00034260000000000003,-0.00034260000000000003,57.1,-57.1,0.098,-0.098,70.86,-0.529,70.828,-0.518,41.1,-41.1,12.09,-6.53,165.0,-202.0,0.128,-0.192,0.3,-0.3,0.33,-0.17800000000000002,-0.114,0.153,4.7,-2.06,136.56581,-0.10583,K01008.01
-0.7178300023078918,0.5820099711418152,-0.0008832004386931658,0.027886342257261276,0.0,-12.640689849853516,385.9854974998335,0.0,0.0,1.3527041478083894e-08,0.6499199867248535,0.0,34.93373107910156,0.0,317.74527,205.9582,2455038.958,0.787,17.54,206.6,0.014,0.13063,2.1,0.8390000000000001,89.49,336.0,3.03,88.7,0.308,0.3,0.0,0.0,6050.0,4.08,-0.94,1.3330000000000002,0.779,6.035,7.386,13.6,1,4,0.034,-0.034,0.017,-0.017,14.1,-14.1,1.4,-1.4,0.16,-0.536,0.001,-2.2e-05,44.0,-44.0,0.69,-0.83,181.0,-163.0,0.455,-0.195,0.3,-0.3,0.433,-0.529,-0.042,0.092,2.95,-2.04,1.03807,-0.09999,
-0.47624000906944275,0.09679000079631805,-0.00545071717351675,0.04426262900233269,0.0057200000155717134,-6.276504993438721,43.59557116186327,-0.0027000000700354576,-7.999999797903001e-05,-3.9898739548975624e-08,0.2865149974822998,0.002770000137388706,96.95048522949219,-7.999999797903001e-05,3.43525124,132.6333,2454965.633,1.121,4.509,152.2,0.134,0.00541,25.43,0.047,41.65,1579.0,1468.73,1.5,0.405,0.264,0.0,0.0,5854.0,4.0139999999999985,0.12,1.742,1.143,4.552,10.048,6.3,1,388,0.012,-0.012,4.864e-05,-4.864e-05,19.2,-19.2,0.612,-0.612,9.179,-0.055,9.174,-0.052000000000000005,0.75,-0.75,3.9,-5.84,79.0,-79.0,0.202,-0.081,0.15,-0.15,0.267,-0.4,-0.107,0.131,592.34,-643.17,1.89499,-0.00048,K04224.01
-7.709969997406006,2.10017991065979,-0.09045855700969696,0.5830239057540894,0.08300499990582466,-3.32466721534729,18.224757419131958,-0.09628999978303909,-0.05724000185728073,2.3848032428217416e-07,4.9050750732421875,0.04089999943971634,8.219929695129395,-0.05724000185728073,18.622214000000003,141.6268,2454974.627,0.792,4.42,5832.0,0.077,0.70849,20.83,0.154,88.07,1101.0,347.32,23.5,0.32,0.305,0.0,0.0,6235.0,3.801,0.02,2.471,1.4069999999999998,17.796,100.061,20.1,1,77,0.053,-0.053,0.001,-0.001,302.0,-302.0,0.155,-0.155,0.11,-0.579,0.014,-0.008,11.1,-11.1,1.44,-1.05,84.0,-65.0,0.03,-0.02,0.15,-0.15,0.171,-0.124,-0.111,0.19,71.56999999999998,-46.85,2.00195,-0.42828,
